time,open,high,low,close,volume,ticker
2018-09-17,8.86,8.86,8.86,8.86,0,KTC
2018-09-18,8.86,8.86,8.86,8.86,0,KTC
2018-09-19,8.86,8.86,8.86,8.86,0,KTC
2018-09-20,8.86,8.86,8.86,8.86,0,KTC
2018-09-21,8.86,8.86,8.86,8.86,0,KTC
2018-09-24,8.86,8.86,8.86,8.86,0,KTC
2018-09-25,8.86,8.86,8.86,8.86,0,KTC
2018-09-26,8.86,8.86,8.86,8.86,0,KTC
2018-09-27,8.86,8.86,8.86,8.86,0,KTC
2018-09-28,8.86,8.86,8.86,8.86,0,KTC
2018-10-01,8.86,8.86,8.86,8.86,0,KTC
2018-10-02,8.86,8.86,8.86,8.86,0,KTC
2018-10-03,8.86,8.86,8.86,8.86,0,KTC
2018-10-04,8.86,8.86,8.86,8.86,0,KTC
2018-10-05,8.86,8.86,8.86,8.86,0,KTC
2018-10-08,8.86,8.86,8.86,8.86,0,KTC
2018-10-09,8.86,8.86,8.86,8.86,0,KTC
2018-10-10,8.86,8.86,8.86,8.86,0,KTC
2018-10-11,8.86,8.86,8.86,8.86,0,KTC
2018-10-12,8.86,8.86,8.86,8.86,0,KTC
2018-10-15,8.86,8.86,8.86,8.86,0,KTC
2018-10-16,8.86,8.86,8.86,8.86,0,KTC
2018-10-17,8.86,8.86,8.86,8.86,0,KTC
2018-10-18,8.86,8.86,8.86,8.86,0,KTC
2018-10-19,8.86,8.86,8.86,8.86,0,KTC
2018-10-22,8.86,8.86,8.86,8.86,0,KTC
2018-10-23,8.86,8.86,8.86,8.86,0,KTC
2018-10-24,8.86,8.86,8.86,8.86,0,KTC
2018-10-25,8.86,8.86,8.86,8.86,0,KTC
2018-10-26,8.86,8.86,8.86,8.86,0,KTC
2018-10-29,8.86,8.86,8.86,8.86,0,KTC
2018-10-30,8.86,8.86,8.86,8.86,0,KTC
2018-10-31,8.86,8.86,8.86,8.86,0,KTC
2018-11-01,8.86,8.86,8.86,8.86,0,KTC
2018-11-02,8.86,8.86,8.86,8.86,0,KTC
2018-11-05,8.86,8.86,8.86,8.86,0,KTC
2018-11-06,8.86,8.86,8.86,8.86,0,KTC
2018-11-07,8.86,8.86,8.86,8.86,0,KTC
2018-11-08,8.86,8.86,8.86,8.86,0,KTC
2018-11-09,8.86,8.86,8.86,8.86,0,KTC
2018-11-12,8.86,8.86,8.86,8.86,0,KTC
2018-11-13,8.86,8.86,8.86,8.86,0,KTC
2018-11-14,8.86,8.86,8.86,8.86,0,KTC
2018-11-15,8.86,8.86,8.86,8.86,0,KTC
2018-11-16,8.86,8.86,8.86,8.86,0,KTC
2018-11-19,8.86,8.86,8.86,8.86,0,KTC
2018-11-20,8.86,8.86,8.86,8.86,0,KTC
2018-11-21,8.86,8.86,8.86,8.86,0,KTC
2018-11-22,8.86,8.86,8.86,8.86,0,KTC
2018-11-23,8.86,8.86,8.86,8.86,0,KTC
2018-11-26,8.86,8.86,8.86,8.86,0,KTC
2018-11-27,8.86,8.86,8.86,8.86,0,KTC
2018-11-28,8.86,8.86,8.86,8.86,0,KTC
2018-11-29,8.86,8.86,8.86,8.86,0,KTC
2018-11-30,12.4,12.4,12.4,12.4,100,KTC
2018-12-03,14.25,14.25,14.25,14.25,100,KTC
2018-12-04,16.35,16.35,16.35,16.35,100,KTC
2018-12-05,18.76,18.76,18.76,18.76,100,KTC
2018-12-06,21.5,21.5,21.5,21.5,100,KTC
2018-12-07,21.5,21.5,21.5,21.5,0,KTC
2018-12-10,21.5,21.5,21.5,21.5,0,KTC
2018-12-11,21.5,21.5,21.5,21.5,0,KTC
2018-12-12,21.5,21.5,21.5,21.5,0,KTC
2018-12-13,21.5,21.5,21.5,21.5,0,KTC
2018-12-14,21.5,21.5,21.5,21.5,0,KTC
2018-12-17,21.5,21.5,21.5,21.5,0,KTC
2018-12-18,21.5,21.5,21.5,21.5,0,KTC
2018-12-19,21.5,21.5,21.5,21.5,0,KTC
2018-12-20,21.5,21.5,21.5,21.5,0,KTC
2018-12-21,21.5,21.5,21.5,21.5,0,KTC
2018-12-24,21.5,21.5,21.5,21.5,0,KTC
2018-12-25,21.5,21.5,21.5,21.5,0,KTC
2018-12-26,21.5,21.5,21.5,21.5,0,KTC
2018-12-27,21.5,21.5,21.5,21.5,0,KTC
2018-12-28,21.5,21.5,21.5,21.5,0,KTC
2019-01-02,21.5,21.5,21.5,21.5,0,KTC
2019-01-03,21.5,21.5,21.5,21.5,0,KTC
2019-01-04,21.5,21.5,21.5,21.5,0,KTC
2019-01-07,21.5,21.5,21.5,21.5,0,KTC
2019-01-08,21.5,21.5,21.5,21.5,0,KTC
2019-01-09,21.5,21.5,21.5,21.5,0,KTC
2019-01-10,21.5,21.5,21.5,21.5,0,KTC
2019-01-11,21.5,21.5,21.5,21.5,0,KTC
2019-01-14,21.5,21.5,21.5,21.5,0,KTC
2019-01-15,21.5,21.5,21.5,21.5,0,KTC
2019-01-16,21.5,21.5,21.5,21.5,0,KTC
2019-01-17,21.5,21.5,21.5,21.5,0,KTC
2019-01-18,21.5,21.5,21.5,21.5,0,KTC
2019-01-21,21.5,21.5,21.5,21.5,0,KTC
2019-01-22,21.5,21.5,21.5,21.5,0,KTC
2019-01-23,21.5,21.5,21.5,21.5,0,KTC
2019-01-24,21.5,21.5,21.5,21.5,0,KTC
2019-01-25,21.5,21.5,21.5,21.5,0,KTC
2019-01-28,21.5,21.5,21.5,21.5,0,KTC
2019-01-29,21.5,21.5,21.5,21.5,0,KTC
2019-01-30,21.5,21.5,21.5,21.5,0,KTC
2019-01-31,21.5,21.5,21.5,21.5,0,KTC
2019-02-01,21.5,21.5,21.5,21.5,0,KTC
2019-02-11,21.5,21.5,21.5,21.5,0,KTC
2019-02-12,21.5,21.5,21.5,21.5,0,KTC
2019-02-13,21.5,21.5,21.5,21.5,0,KTC
2019-02-14,21.5,21.5,21.5,21.5,0,KTC
2019-02-15,21.5,21.5,21.5,21.5,0,KTC
2019-02-18,21.5,21.5,21.5,21.5,0,KTC
2019-02-19,21.5,21.5,21.5,21.5,0,KTC
2019-02-20,21.5,21.5,21.5,21.5,0,KTC
2019-02-21,21.5,21.5,21.5,21.5,0,KTC
2019-02-22,21.5,21.5,21.5,21.5,0,KTC
2019-02-25,21.5,21.5,21.5,21.5,0,KTC
2019-02-26,21.5,21.5,21.5,21.5,0,KTC
2019-02-27,21.5,21.5,21.5,21.5,0,KTC
2019-02-28,21.5,21.5,21.5,21.5,0,KTC
2019-03-01,21.5,21.5,21.5,21.5,0,KTC
2019-03-04,21.5,21.5,21.5,21.5,0,KTC
2019-03-05,21.5,21.5,21.5,21.5,0,KTC
2019-03-06,21.5,21.5,21.5,21.5,0,KTC
2019-03-07,21.5,21.5,21.5,21.5,0,KTC
2019-03-08,21.5,21.5,21.5,21.5,0,KTC
2019-03-11,21.5,21.5,21.5,21.5,0,KTC
2019-03-12,21.5,21.5,21.5,21.5,0,KTC
2019-03-13,21.5,21.5,21.5,21.5,0,KTC
2019-03-14,21.5,21.5,21.5,21.5,0,KTC
2019-03-15,21.5,21.5,21.5,21.5,0,KTC
2019-03-18,21.5,21.5,21.5,21.5,0,KTC
2019-03-19,21.5,21.5,21.5,21.5,0,KTC
2019-03-20,21.5,21.5,21.5,21.5,0,KTC
2019-03-21,21.5,21.5,21.5,21.5,0,KTC
2019-03-22,21.5,21.5,21.5,21.5,0,KTC
2019-03-25,21.5,21.5,21.5,21.5,0,KTC
2019-03-26,21.5,21.5,21.5,21.5,0,KTC
2019-03-27,21.5,21.5,21.5,21.5,0,KTC
2019-03-28,21.5,21.5,21.5,21.5,0,KTC
2019-03-29,21.5,21.5,21.5,21.5,0,KTC
2019-04-01,21.5,21.5,21.5,21.5,0,KTC
2019-04-02,21.5,21.5,21.5,21.5,0,KTC
2019-04-03,21.5,21.5,21.5,21.5,0,KTC
2019-04-04,21.5,21.5,21.5,21.5,0,KTC
2019-04-05,21.5,21.5,21.5,21.5,0,KTC
2019-04-08,21.5,21.5,21.5,21.5,0,KTC
2019-04-09,21.5,21.5,21.5,21.5,0,KTC
2019-04-10,21.5,21.5,21.5,21.5,0,KTC
2019-04-11,21.5,21.5,21.5,21.5,0,KTC
2019-04-12,21.5,21.5,21.5,21.5,0,KTC
2019-04-16,21.5,21.5,21.5,21.5,0,KTC
2019-04-17,21.5,21.5,21.5,21.5,0,KTC
2019-04-18,21.5,21.5,21.5,21.5,0,KTC
2019-04-19,21.5,21.5,21.5,21.5,0,KTC
2019-04-22,21.5,21.5,21.5,21.5,0,KTC
2019-04-23,21.5,21.5,21.5,21.5,0,KTC
2019-04-24,21.5,21.5,21.5,21.5,0,KTC
2019-04-25,21.5,21.5,21.5,21.5,0,KTC
2019-04-26,21.5,21.5,21.5,21.5,0,KTC
2019-05-02,21.5,21.5,21.5,21.5,0,KTC
2019-05-03,21.5,21.5,21.5,21.5,0,KTC
2019-05-06,21.5,21.5,21.5,21.5,0,KTC
2019-05-07,21.5,21.5,21.5,21.5,0,KTC
2019-05-08,21.5,21.5,21.5,21.5,0,KTC
2019-05-09,21.5,21.5,21.5,21.5,0,KTC
2019-05-10,21.5,21.5,21.5,21.5,0,KTC
2019-05-13,21.5,21.5,21.5,21.5,0,KTC
2019-05-14,21.5,21.5,21.5,21.5,0,KTC
2019-05-15,21.5,21.5,21.5,21.5,0,KTC
2019-05-16,21.5,21.5,21.5,21.5,0,KTC
2019-05-17,21.5,21.5,21.5,21.5,0,KTC
2019-05-20,21.5,21.5,21.5,21.5,0,KTC
2019-05-21,21.5,21.5,21.5,21.5,0,KTC
2019-05-22,21.5,21.5,21.5,21.5,0,KTC
2019-05-23,21.5,21.5,21.5,21.5,0,KTC
2019-05-24,21.5,21.5,21.5,21.5,0,KTC
2019-05-27,21.5,21.5,21.5,21.5,0,KTC
2019-05-28,21.5,21.5,21.5,21.5,0,KTC
2019-05-29,21.5,21.5,21.5,21.5,0,KTC
2019-05-30,21.5,21.5,21.5,21.5,0,KTC
2019-05-31,21.5,21.5,21.5,21.5,0,KTC
2019-06-03,21.5,21.5,21.5,21.5,0,KTC
2019-06-04,21.5,21.5,21.5,21.5,0,KTC
2019-06-05,21.5,21.5,21.5,21.5,0,KTC
2019-06-06,21.5,21.5,21.5,21.5,0,KTC
2019-06-07,21.5,21.5,21.5,21.5,0,KTC
2019-06-10,21.5,21.5,21.5,21.5,0,KTC
2019-06-11,21.5,21.5,21.5,21.5,0,KTC
2019-06-12,21.5,21.5,21.5,21.5,0,KTC
2019-06-13,21.5,21.5,21.5,21.5,0,KTC
2019-06-14,21.5,21.5,21.5,21.5,0,KTC
2019-06-17,21.5,21.5,21.5,21.5,0,KTC
2019-06-18,21.5,21.5,21.5,21.5,0,KTC
2019-06-19,21.5,21.5,21.5,21.5,0,KTC
2019-06-20,21.5,21.5,21.5,21.5,0,KTC
2019-06-21,21.5,21.5,21.5,21.5,0,KTC
2019-06-24,21.5,21.5,21.5,21.5,0,KTC
2019-06-25,21.5,21.5,21.5,21.5,0,KTC
2019-06-26,21.5,21.5,21.5,21.5,0,KTC
2019-06-27,21.5,21.5,21.5,21.5,0,KTC
2019-06-28,21.5,21.5,21.5,21.5,0,KTC
2019-07-01,21.5,21.5,21.5,21.5,0,KTC
2019-07-02,21.5,21.5,21.5,21.5,0,KTC
2019-07-03,21.5,21.5,21.5,21.5,0,KTC
2019-07-04,21.5,21.5,21.5,21.5,0,KTC
2019-07-05,21.5,21.5,21.5,21.5,0,KTC
2019-07-08,21.5,21.5,21.5,21.5,0,KTC
2019-07-09,21.5,21.5,21.5,21.5,0,KTC
2019-07-10,21.5,21.5,21.5,21.5,0,KTC
2019-07-11,21.5,21.5,21.5,21.5,0,KTC
2019-07-12,21.5,21.5,21.5,21.5,0,KTC
2019-07-15,21.5,21.5,21.5,21.5,0,KTC
2019-07-16,21.5,21.5,21.5,21.5,0,KTC
2019-07-17,21.5,21.5,21.5,21.5,0,KTC
2019-07-18,21.5,21.5,21.5,21.5,0,KTC
2019-07-19,21.5,21.5,21.5,21.5,0,KTC
2019-07-22,21.5,21.5,21.5,21.5,0,KTC
2019-07-23,21.5,21.5,21.5,21.5,0,KTC
2019-07-24,21.5,21.5,21.5,21.5,0,KTC
2019-07-25,21.5,21.5,21.5,21.5,0,KTC
2019-07-26,21.5,21.5,21.5,21.5,0,KTC
2019-07-29,21.5,21.5,21.5,21.5,0,KTC
2019-07-30,21.5,21.5,21.5,21.5,0,KTC
2019-07-31,21.5,21.5,21.5,21.5,0,KTC
2019-08-01,21.5,21.5,21.5,21.5,0,KTC
2019-08-02,21.5,21.5,21.5,21.5,0,KTC
2019-08-05,21.5,21.5,21.5,21.5,0,KTC
2019-08-06,21.5,21.5,21.5,21.5,0,KTC
2019-08-07,21.5,21.5,21.5,21.5,0,KTC
2019-08-08,21.5,21.5,21.5,21.5,0,KTC
2019-08-09,21.5,21.5,21.5,21.5,0,KTC
2019-08-12,21.5,21.5,21.5,21.5,0,KTC
2019-08-13,21.5,21.5,21.5,21.5,0,KTC
2019-08-14,21.5,21.5,21.5,21.5,0,KTC
2019-08-15,21.5,21.5,21.5,21.5,0,KTC
2019-08-16,21.5,21.5,21.5,21.5,0,KTC
2019-08-19,21.5,21.5,21.5,21.5,0,KTC
2019-08-20,21.5,21.5,21.5,21.5,0,KTC
2019-08-21,21.5,21.5,21.5,21.5,0,KTC
2019-08-22,21.5,21.5,21.5,21.5,0,KTC
2019-08-23,21.5,21.5,21.5,21.5,0,KTC
2019-08-26,21.5,21.5,21.5,21.5,0,KTC
2019-08-27,21.5,21.5,21.5,21.5,0,KTC
2019-08-28,21.5,21.5,21.5,21.5,0,KTC
2019-08-29,21.5,21.5,21.5,21.5,0,KTC
2019-08-30,21.5,21.5,21.5,21.5,0,KTC
2019-09-03,21.5,21.5,21.5,21.5,0,KTC
2019-09-04,21.5,21.5,21.5,21.5,0,KTC
2019-09-05,21.5,21.5,21.5,21.5,0,KTC
2019-09-06,21.5,21.5,21.5,21.5,0,KTC
2019-09-09,21.5,21.5,21.5,21.5,0,KTC
2019-09-10,21.5,21.5,21.5,21.5,0,KTC
2019-09-11,21.5,21.5,21.5,21.5,0,KTC
2019-09-12,21.5,21.5,21.5,21.5,0,KTC
2019-09-13,21.5,21.5,21.5,21.5,0,KTC
2019-09-16,21.5,21.5,21.5,21.5,0,KTC
2019-09-17,21.5,21.5,21.5,21.5,0,KTC
2019-09-18,21.5,21.5,21.5,21.5,0,KTC
2019-09-19,21.5,21.5,21.5,21.5,0,KTC
2019-09-20,21.5,21.5,21.5,21.5,0,KTC
2019-09-23,21.5,21.99,21.99,21.99,0,KTC
2019-09-24,21.5,21.99,21.99,21.99,0,KTC
2019-09-25,21.5,21.99,21.99,21.99,0,KTC
2019-09-26,21.5,21.99,21.99,21.99,0,KTC
2019-09-27,21.5,21.99,21.99,21.99,0,KTC
2019-09-30,21.5,21.99,21.99,21.99,0,KTC
2019-10-01,21.5,21.99,21.99,21.99,0,KTC
2019-10-02,21.5,21.99,21.99,21.99,0,KTC
2019-10-03,21.5,21.99,21.99,21.99,0,KTC
2019-10-04,21.5,21.99,21.99,21.99,0,KTC
2019-10-07,21.5,21.99,21.99,21.99,0,KTC
2019-10-08,21.5,21.99,21.99,21.99,0,KTC
2019-10-09,21.5,21.99,21.99,21.99,0,KTC
2019-10-10,21.5,21.99,21.99,21.99,0,KTC
2019-10-11,21.5,21.99,21.99,21.99,0,KTC
2019-10-14,21.5,21.99,21.99,21.99,0,KTC
2019-10-15,21.5,21.5,21.5,21.5,0,KTC
2019-10-16,21.5,21.99,21.99,21.99,0,KTC
2019-10-17,21.5,21.99,21.99,21.99,0,KTC
2019-10-18,21.5,21.99,21.99,21.99,0,KTC
2019-10-21,21.5,21.99,21.99,21.99,0,KTC
2019-10-22,21.5,21.99,21.99,21.99,0,KTC
2019-10-23,21.5,21.99,21.99,21.99,0,KTC
2019-10-24,21.5,21.99,21.99,21.99,0,KTC
2019-10-25,21.5,21.99,21.99,21.99,0,KTC
2019-10-28,21.5,21.99,21.99,21.99,0,KTC
2019-10-29,21.5,21.99,21.99,21.99,0,KTC
2019-10-30,21.5,21.99,21.99,21.99,0,KTC
2019-10-31,21.5,21.5,21.5,21.5,0,KTC
2019-11-01,21.5,21.99,21.99,21.99,0,KTC
2019-11-04,21.5,21.99,21.99,21.99,0,KTC
2019-11-05,21.5,21.99,21.99,21.99,0,KTC
2019-11-06,21.5,21.99,21.99,21.99,0,KTC
2019-11-07,21.5,21.99,21.99,21.99,0,KTC
2019-11-08,21.5,21.99,21.99,21.99,0,KTC
2019-11-11,21.5,21.99,21.99,21.99,0,KTC
2019-11-12,21.5,21.99,21.99,21.99,0,KTC
2019-11-13,21.5,21.99,21.99,21.99,0,KTC
2019-11-14,21.5,21.99,21.99,21.99,0,KTC
2019-11-15,21.5,21.99,21.99,21.99,0,KTC
2019-11-18,21.5,21.99,21.99,21.99,0,KTC
2019-11-19,21.5,21.99,21.99,21.99,0,KTC
2019-11-20,21.5,21.99,21.99,21.99,0,KTC
2019-11-21,21.5,21.99,21.99,21.99,0,KTC
2019-11-22,21.5,21.5,21.5,21.5,0,KTC
2019-11-25,21.5,21.99,21.99,21.99,0,KTC
2019-11-26,21.5,21.99,21.99,21.99,0,KTC
2019-11-27,21.5,21.99,21.99,21.99,0,KTC
2019-11-28,21.5,21.99,21.99,21.99,0,KTC
2019-11-29,21.5,21.99,21.99,21.99,0,KTC
2019-12-02,21.5,21.5,21.5,21.5,0,KTC
2019-12-03,21.5,21.99,21.99,21.99,0,KTC
2019-12-04,21.5,21.99,21.99,21.99,0,KTC
2019-12-05,21.5,21.99,21.99,21.99,0,KTC
2019-12-06,21.5,21.99,21.99,21.99,0,KTC
2019-12-09,21.5,21.99,21.99,21.99,0,KTC
2019-12-10,21.5,21.99,21.99,21.99,0,KTC
2019-12-11,21.5,21.99,21.99,21.99,0,KTC
2019-12-12,21.5,21.99,21.99,21.99,0,KTC
2019-12-13,21.5,21.99,21.99,21.99,0,KTC
2019-12-16,21.5,21.99,21.99,21.99,0,KTC
2019-12-17,21.5,21.99,21.99,21.99,0,KTC
2019-12-18,21.5,21.99,21.99,21.99,0,KTC
2019-12-19,21.5,21.99,21.99,21.99,0,KTC
2019-12-20,21.5,21.99,21.99,21.99,0,KTC
2019-12-23,21.5,21.99,21.99,21.99,0,KTC
2019-12-24,21.5,21.99,21.99,21.99,0,KTC
2019-12-25,21.5,21.99,21.99,21.99,0,KTC
2019-12-26,21.5,21.99,21.99,21.99,0,KTC
2019-12-27,21.5,21.99,21.99,21.99,0,KTC
2019-12-30,21.5,21.99,21.99,21.99,0,KTC
2019-12-31,21.5,21.99,21.99,21.99,0,KTC
2020-01-02,21.5,21.99,21.99,21.99,0,KTC
2020-01-03,21.5,21.99,21.99,21.99,0,KTC
2020-01-06,21.5,21.99,21.99,21.99,0,KTC
2020-01-07,21.5,21.99,21.99,21.99,0,KTC
2020-01-08,21.5,21.99,21.99,21.99,0,KTC
2020-01-09,21.5,21.99,21.99,21.99,0,KTC
2020-01-10,21.5,21.99,21.99,21.99,0,KTC
2020-01-13,21.5,21.99,21.99,21.99,0,KTC
2020-01-14,21.5,21.99,21.99,21.99,0,KTC
2020-01-15,21.5,21.99,21.99,21.99,0,KTC
2020-01-16,21.5,21.99,21.99,21.99,0,KTC
2020-01-17,21.5,21.99,21.99,21.99,0,KTC
2020-01-20,21.5,21.99,21.99,21.99,0,KTC
2020-01-21,21.5,21.99,21.99,21.99,0,KTC
2020-01-22,21.5,21.99,21.99,21.99,0,KTC
2020-01-30,21.5,21.99,21.99,21.99,0,KTC
2020-01-31,21.5,21.99,21.99,21.99,0,KTC
2020-02-03,21.5,21.99,21.99,21.99,0,KTC
2020-02-04,21.5,21.99,21.99,21.99,0,KTC
2020-02-05,21.5,21.99,21.99,21.99,0,KTC
2020-02-06,21.5,21.99,21.99,21.99,0,KTC
2020-02-07,21.5,21.99,21.99,21.99,0,KTC
2020-02-10,21.5,21.99,21.99,21.99,0,KTC
2020-02-11,21.5,21.99,21.99,21.99,0,KTC
2020-02-12,21.5,21.99,21.99,21.99,0,KTC
2020-02-13,21.5,21.99,21.99,21.99,0,KTC
2020-02-14,21.5,21.99,21.99,21.99,0,KTC
2020-02-17,21.5,21.99,21.99,21.99,0,KTC
2020-02-18,21.5,21.99,21.99,21.99,0,KTC
2020-02-19,21.5,21.99,21.99,21.99,0,KTC
2020-02-20,21.5,21.99,21.99,21.99,0,KTC
2020-02-21,21.5,21.99,21.99,21.99,0,KTC
2020-02-24,21.5,21.99,21.99,21.99,0,KTC
2020-02-25,21.5,21.99,21.99,21.99,0,KTC
2020-02-26,21.5,21.99,21.99,21.99,0,KTC
2020-02-27,21.5,21.99,21.99,21.99,0,KTC
2020-02-28,21.5,21.99,21.99,21.99,0,KTC
2020-03-02,21.5,21.99,21.99,21.99,0,KTC
2020-03-03,21.5,21.99,21.99,21.99,0,KTC
2020-03-04,21.5,21.99,21.99,21.99,0,KTC
2020-03-05,21.5,21.99,21.99,21.99,0,KTC
2020-03-06,21.5,21.99,21.99,21.99,0,KTC
2020-03-09,21.5,21.99,21.99,21.99,0,KTC
2020-03-10,21.5,21.99,21.99,21.99,0,KTC
2020-03-11,21.5,21.99,21.99,21.99,0,KTC
2020-03-12,21.5,21.99,21.99,21.99,0,KTC
2020-03-13,21.5,21.99,21.99,21.99,0,KTC
2020-03-16,21.5,21.99,21.99,21.99,0,KTC
2020-03-17,21.5,21.99,21.99,21.99,0,KTC
2020-03-18,21.5,21.99,21.99,21.99,0,KTC
2020-03-19,21.5,21.99,21.99,21.99,0,KTC
2020-03-20,21.5,21.99,21.99,21.99,0,KTC
2020-03-23,21.5,21.99,21.99,21.99,0,KTC
2020-03-24,21.5,21.99,21.99,21.99,0,KTC
2020-03-25,21.5,21.99,21.99,21.99,0,KTC
2020-03-26,21.5,21.99,21.99,21.99,0,KTC
2020-03-27,21.5,21.99,21.99,21.99,0,KTC
2020-03-30,21.5,21.99,21.99,21.99,0,KTC
2020-03-31,21.5,21.99,21.99,21.99,0,KTC
2020-04-01,21.5,21.99,21.99,21.99,0,KTC
2020-04-03,21.5,21.99,21.99,21.99,0,KTC
2020-04-06,21.5,21.99,21.99,21.99,0,KTC
2020-04-07,21.5,21.99,21.99,21.99,0,KTC
2020-04-08,21.5,21.99,21.99,21.99,0,KTC
2020-04-09,21.5,21.99,21.99,21.99,0,KTC
2020-04-10,21.5,21.99,21.99,21.99,0,KTC
2020-04-13,21.5,21.99,21.99,21.99,0,KTC
2020-04-14,21.5,21.99,21.99,21.99,0,KTC
2020-04-15,21.5,21.99,21.99,21.99,0,KTC
2020-04-16,21.5,21.99,21.99,21.99,0,KTC
2020-04-17,21.5,21.99,21.99,21.99,0,KTC
2020-04-20,21.5,21.99,21.99,21.99,0,KTC
2020-04-21,21.5,21.99,21.99,21.99,0,KTC
2020-04-22,21.5,21.99,21.99,21.99,0,KTC
2020-04-23,21.5,21.99,21.99,21.99,0,KTC
2020-04-24,21.5,21.99,21.99,21.99,0,KTC
2020-04-27,21.5,21.99,21.99,21.99,0,KTC
2020-04-28,21.5,21.99,21.99,21.99,0,KTC
2020-04-29,21.5,21.99,21.99,21.99,0,KTC
2020-05-04,21.5,21.99,21.99,21.99,0,KTC
2020-05-05,21.5,21.99,21.99,21.99,0,KTC
2020-05-06,21.5,21.99,21.99,21.99,0,KTC
2020-05-07,21.5,21.99,21.99,21.99,0,KTC
2020-05-08,21.5,21.99,21.99,21.99,0,KTC
2020-05-11,21.5,21.99,21.99,21.99,0,KTC
2020-05-12,21.5,21.99,21.99,21.99,0,KTC
2020-05-13,21.5,21.99,21.99,21.99,0,KTC
2020-05-14,21.5,21.99,21.99,21.99,0,KTC
2020-05-15,21.5,21.99,21.99,21.99,0,KTC
2020-05-18,21.5,21.99,21.99,21.99,0,KTC
2020-05-19,21.5,21.99,21.99,21.99,0,KTC
2020-05-20,21.5,21.99,21.99,21.99,0,KTC
2020-05-21,21.5,21.99,21.99,21.99,0,KTC
2020-05-22,21.5,21.99,21.99,21.99,0,KTC
2020-05-25,21.5,21.99,21.99,21.99,0,KTC
2020-05-26,21.5,21.99,21.99,21.99,0,KTC
