time,open,high,low,close,volume,ticker
2023-04-06,26.96,26.96,26.96,26.96,775,TOS
2023-04-07,26.96,26.96,26.96,26.96,0,TOS
2023-04-10,26.96,26.96,26.96,26.96,0,TOS
2023-04-11,26.96,26.96,26.96,26.96,700,TOS
2023-04-12,26.78,26.78,26.78,26.78,1600,TOS
2023-04-13,26.87,26.87,26.6,26.6,1403,TOS
2023-04-14,27.41,27.41,27.41,27.41,500,TOS
2023-04-17,27.41,27.41,27.41,27.41,0,TOS
2023-04-18,27.41,27.41,27.41,27.41,0,TOS
2023-04-19,26.33,26.51,26.33,26.51,900,TOS
2023-04-20,26.42,26.42,26.15,26.15,4603,TOS
2023-04-21,26.96,26.96,26.96,26.96,103,TOS
2023-04-24,26.33,26.96,26.33,26.96,900,TOS
2023-04-25,27.05,27.05,27.05,27.05,2227,TOS
2023-04-26,27.05,27.05,26.96,26.96,1800,TOS
2023-04-27,27.23,27.23,27.23,27.23,100,TOS
2023-04-28,27.23,27.23,27.23,27.23,6800,TOS
2023-05-04,26.96,27.05,26.96,27.05,702,TOS
2023-05-05,27.95,27.95,27.95,27.95,703,TOS
2023-05-08,27.23,27.95,26.6,26.78,3200,TOS
2023-05-09,26.87,26.87,26.87,26.87,0,TOS
2023-05-10,27.5,27.59,27.5,27.59,3500,TOS
2023-05-11,28.4,28.49,28.4,28.4,503,TOS
2023-05-12,28.4,28.4,28.4,28.4,0,TOS
2023-05-15,28.4,28.4,28.4,28.4,0,TOS
2023-05-16,28.31,28.4,28.31,28.4,3000,TOS
2023-05-17,28.85,28.85,28.85,28.85,100,TOS
2023-05-18,28.85,28.85,28.85,28.85,79,TOS
2023-05-19,28.85,28.85,28.85,28.85,0,TOS
2023-05-22,28.85,28.85,28.85,28.85,100,TOS
2023-05-23,28.85,28.85,28.85,28.85,6,TOS
2023-05-24,28.4,28.4,27.05,27.95,1521,TOS
2023-05-25,27.95,27.95,27.95,27.95,1133,TOS
2023-05-26,28.31,28.31,27.95,27.95,600,TOS
2023-05-29,27.77,28.04,27.77,28.04,1800,TOS
2023-05-30,27.77,27.77,27.77,27.77,20,TOS
2023-05-31,27.95,27.95,27.95,27.95,556,TOS
2023-06-01,27.95,27.95,27.95,27.95,7,TOS
2023-06-02,27.95,27.95,27.95,27.95,1,TOS
2023-06-05,27.05,27.32,27.05,27.32,3703,TOS
2023-06-06,27.14,27.14,27.05,27.14,5321,TOS
2023-06-07,27.5,27.5,27.5,27.5,100,TOS
2023-06-08,27.5,27.5,27.5,27.5,1800,TOS
2023-06-09,27.95,27.95,27.95,27.95,1000,TOS
2023-06-12,27.5,27.5,27.05,27.5,8300,TOS
2023-06-13,27.41,27.41,27.41,27.41,0,TOS
2023-06-14,27.59,27.59,27.59,27.59,1000,TOS
2023-06-15,28.13,28.85,27.95,28.85,7206,TOS
2023-06-16,28.85,29.75,28.85,28.85,8901,TOS
2023-06-19,29.75,29.75,28.85,28.94,9001,TOS
2023-06-20,29.21,29.21,28.85,28.94,3700,TOS
2023-06-21,28.85,28.85,28.85,28.85,500,TOS
2023-06-22,28.85,29.66,28.85,29.66,49200,TOS
2023-06-23,30.66,31.56,30.39,31.56,24301,TOS
2023-06-26,30.66,31.56,30.66,31.02,2000,TOS
2023-06-27,33.03,33.03,30.12,30.12,2714,TOS
2023-06-28,31.09,31.96,31.09,31.67,3816,TOS
2023-06-29,31.57,31.57,31.48,31.48,6612,TOS
2023-06-30,31.09,31.19,30.12,31.19,18401,TOS
2023-07-03,31.09,31.09,30.12,30.12,2301,TOS
2023-07-04,29.14,30.12,29.14,30.12,615,TOS
2023-07-05,29.24,29.34,29.24,29.24,6600,TOS
2023-07-06,30.7,31.09,29.14,29.63,19000,TOS
2023-07-07,31.09,31.09,28.27,28.66,33208,TOS
2023-07-10,31.09,31.09,30.12,30.12,11500,TOS
2023-07-11,29.24,30.02,29.14,30.02,1926,TOS
2023-07-12,27.3,30.12,27.3,29.63,8200,TOS
2023-07-13,30.99,30.99,29.44,29.63,1300,TOS
2023-07-14,33.52,33.52,29.53,29.53,2101,TOS
2023-07-17,34.97,35.95,30.02,30.41,11700,TOS
2023-07-18,29.53,29.53,28.66,28.66,2700,TOS
2023-07-19,28.27,30.99,28.27,30.99,1400,TOS
2023-07-20,30.99,30.99,28.56,30.12,96400,TOS
2023-07-21,30.99,30.99,29.63,29.63,1700,TOS
2023-07-24,30.99,31.09,30.12,31.09,6100,TOS
2023-07-25,30.99,33.81,30.99,33.13,53800,TOS
2023-07-26,33.03,34.97,33.03,34.49,18552,TOS
2023-07-27,34.88,34.88,32.35,32.55,13600,TOS
2023-07-28,32.55,32.55,32.55,32.55,400,TOS
